Customer_ID,Call_Date,Call_Duration,Call_Type,Charges,Geography
93,23-12-2023,44,Local,36.3500765,New York
72,28-01-2023,6,International,28.67765185,Los Angeles
93,21-03-2023,3,International,3.211948402,New York
11,10-08-2023,60,International,,Los Angeles
87,02-07-2023,46,International,25.01847604,Chicago
31,10-03-2023,25,International,8.383684943,New York
41,09-10-2023,55,International,13.7373884,New York
80,26-07-2023,37,Local,37.61269194,New York
83,27-12-2023,44,Local,42.71589977,Chicago
88,04-09-2023,31,Local,27.08190743,New York
99,15-03-2023,51,International,23.51629284,New York
47,01-08-2023,54,International,29.09150808,Los Angeles
21,26-03-2023,23,Local,46.35745039,Chicago
60,09-02-2023,6,International,45.41489178,Los Angeles
5,19-05-2023,31,International,36.33525276,New York
38,01-04-2023,26,International,3.645882882,New York
57,28-08-2023,1,International,7.766989068,Chicago
66,12-08-2023,33,International,41.08963193,New York
87,04-10-2023,31,International,15.54938184,Los Angeles
85,24-08-2023,48,International,43.99782629,Los Angeles
79,11-05-2023,26,Local,15.18844693,Los Angeles
48,27-12-2023,7,International,23.01697284,Los Angeles
69,18-01-2023,47,International,31.85274755,New York
99,27-01-2023,41,International,43.6831228,Chicago
72,16-03-2023,48,International,16.53910766,New York
65,14-06-2023,13,International,49.35651005,Chicago
69,11-03-2023,48,Local,24.35375217,Los Angeles
35,06-10-2023,6,Local,8.155936896,Los Angeles
14,08-07-2023,16,International,11.25635389,Los Angeles
9,09-05-2023,44,Local,7.982759661,Los Angeles
33,12-02-2023,14,International,25.32720107,Chicago
91,07-10-2023,58,International,17.01200123,Los Angeles
100,27-09-2023,32,Local,21.88377602,Chicago
65,26-02-2023,4,International,22.30077994,Chicago
92,01-06-2023,59,International,38.79510543,Chicago
56,07-06-2023,32,Local,9.479035587,Chicago
90,01-06-2023,22,International,39.75959159,Chicago
89,23-07-2023,33,Local,40.58404826,Los Angeles
17,25-08-2023,49,International,15.66091132,Chicago
52,05-07-2023,38,International,7.468961811,New York
47,27-10-2023,50,Local,23.12017952,Los Angeles
71,17-11-2023,2,International,37.64341457,Los Angeles
96,19-09-2023,53,Local,8.308792557,Los Angeles
1,02-01-2023,4,International,26.16506134,New York
75,09-04-2023,8,International,11.28415822,New York
31,24-12-2023,44,Local,,Chicago
40,01-11-2023,16,International,14.97848253,New York
38,26-06-2023,41,Local,21.73008606,Los Angeles
44,17-10-2023,50,International,11.39684457,Chicago
39,03-07-2023,4,International,50.38922897,New York
